order,task_id,source,repository,language
"51","django__django-15814","SWE-bench Lite","django/django","Python"
"52","sympy__sympy-17022","SWE-bench Lite","sympy/sympy","Python"
"53","sympy__sympy-21055","SWE-bench Lite","sympy/sympy","Python"
"54","django__django-14855","SWE-bench Lite","django/django","Python"
"55","django__django-12286","SWE-bench Lite","django/django","Python"
"56","django__django-11910","SWE-bench Lite","django/django","Python"
"57","django__django-16820","SWE-bench Lite","django/django","Python"
"58","django__django-14787","SWE-bench Lite","django/django","Python"
"59","django__django-13768","SWE-bench Lite","django/django","Python"
"60","scikit-learn__scikit-learn-14087","SWE-bench Lite","scikit-learn/scikit-learn","Python"
"61","django__django-15388","SWE-bench Lite","django/django","Python"
"62","django__django-13447","SWE-bench Lite","django/django","Python"
"63","pydata__xarray-4248","SWE-bench Lite","pydata/xarray","Python"
"64","scikit-learn__scikit-learn-13584","SWE-bench Lite","scikit-learn/scikit-learn","Python"
"65","sympy__sympy-13647","SWE-bench Lite","sympy/sympy","Python"
"66","sympy__sympy-20212","SWE-bench Lite","sympy/sympy","Python"
"67","django__django-13315","SWE-bench Lite","django/django","Python"
"68","django__django-11999","SWE-bench Lite","django/django","Python"
"69","scikit-learn__scikit-learn-10508","SWE-bench Lite","scikit-learn/scikit-learn","Python"
"70","matplotlib__matplotlib-26020","SWE-bench Lite","matplotlib/matplotlib","Python"
"71","sympy__sympy-13895","SWE-bench Lite","sympy/sympy","Python"
"72","matplotlib__matplotlib-23563","SWE-bench Lite","matplotlib/matplotlib","Python"
"73","django__django-14997","SWE-bench Lite","django/django","Python"
"74","scikit-learn__scikit-learn-15512","SWE-bench Lite","scikit-learn/scikit-learn","Python"
"75","matplotlib__matplotlib-25332","SWE-bench Lite","matplotlib/matplotlib","Python"
"76","django__django-15252","SWE-bench Lite","django/django","Python"
"77","astropy__astropy-14182","SWE-bench Lite","astropy/astropy","Python"
"78","django__django-15695","SWE-bench Lite","django/django","Python"
"79","django__django-13448","SWE-bench Lite","django/django","Python"
"80","django__django-16379","SWE-bench Lite","django/django","Python"
"81","django__django-13660","SWE-bench Lite","django/django","Python"
"82","psf__requests-1963","SWE-bench Lite","psf/requests","Python"
"83","sphinx-doc__sphinx-8721","SWE-bench Lite","sphinx-doc/sphinx","Python"
"84","django__django-15996","SWE-bench Lite","django/django","Python"
"85","django__django-13220","SWE-bench Lite","django/django","Python"
"86","django__django-17087","SWE-bench Lite","django/django","Python"
"87","django__django-16408","SWE-bench Lite","django/django","Python"
"88","pytest-dev__pytest-7168","SWE-bench Lite","pytest-dev/pytest","Python"
"89","django__django-15781","SWE-bench Lite","django/django","Python"
"90","sympy__sympy-24102","SWE-bench Lite","sympy/sympy","Python"
"91","django__django-13590","SWE-bench Lite","django/django","Python"
"92","pytest-dev__pytest-7220","SWE-bench Lite","pytest-dev/pytest","Python"
"93","sympy__sympy-16988","SWE-bench Lite","sympy/sympy","Python"
"94","sympy__sympy-12454","SWE-bench Lite","sympy/sympy","Python"
"95","django__django-12856","SWE-bench Lite","django/django","Python"
"96","django__django-16046","SWE-bench Lite","django/django","Python"
"97","sympy__sympy-22840","SWE-bench Lite","sympy/sympy","Python"
"98","pylint-dev__pylint-7080","SWE-bench Lite","pylint-dev/pylint","Python"
"99","pytest-dev__pytest-8906","SWE-bench Lite","pytest-dev/pytest","Python"
"100","sympy__sympy-17655","SWE-bench Lite","sympy/sympy","Python"
